Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid	Pathogen_category
P62829	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
P62829	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
P62829	Q9WPI5	taxid:9606(human|Homo sapiens)	taxid:380964(influenza a virus (a/texas/36/1991(h1n1))|Influenza A virus (A/Texas/36/1991(H1N1)))	VIRUS
P62829	Q997F2	taxid:9606(human|Homo sapiens)	taxid:121791(nipav|Nipah virus)	VIRUS
P62829	D1LN35	taxid:9606(human|Homo sapiens)	taxid:680716(h5n1-china|Influenza A virus (A/chicken/China/27402/1997(H5N1)))	VIRUS
P62829	P36313	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
P62829	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O14745	P12497-PRO_0000042399	taxid:9606(human|Homo sapiens)	taxid:11698(hv1n5|Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1))	VIRUS
P20674	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
P20674	P04578-PRO_0000038428	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
O95817	Q5EP37	taxid:9606(human|Homo sapiens)	taxid:284218(influenza a virus (a/viet nam/1203/2004(h5n1))|Influenza A virus (A/Viet Nam/1203/2004(H5N1)))	VIRUS
O95816	A8E1C4	taxid:9606(human|Homo sapiens)	taxid:69156(muhvk|Murid herpesvirus 1 (strain K181))	VIRUS
O95816	H2A1D8	taxid:9606(human|Homo sapiens)	taxid:10366(muhv1|Murid herpesvirus 1)	VIRUS
O95816	P10225	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
O95816	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O95816	P03427	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O95816	P03070	taxid:9606(human|Homo sapiens)	taxid:1891767(sv40|sv40)	VIRUS
O95816	Q05127	taxid:9606(human|Homo sapiens)	taxid:128952(ebozm|Zaire ebolavirus (strain Mayinga-76))	VIRUS
P13667	P03366	taxid:9606(human|Homo sapiens)	taxid:11678(hv1b1|Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1))	VIRUS
P13667	Q76353	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P13667	P03366	taxid:9606(human|Homo sapiens)	taxid:11678(hv1b1|Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1))	VIRUS
P13667	Q76353	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P13667	P03468	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
P13667	Q76353	taxid:9606(human|Homo sapiens)	taxid:11676(9hiv1|Human immunodeficiency virus 1)	VIRUS
P13987	A0A0H2W7Y4	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P08962	A0A1J9X0X4	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P08962	P04578-PRO_0000038428	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
P08962	P04578-PRO_0000038428	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
P08962	Q81X77	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P08962	P04578-PRO_0000038428	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
P08962	Q81JE2	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q8ZJL7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A384LBF7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q81SN0	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q5NEM9	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	A0A384LJ06	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q8Z9U1	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q7CGR6	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q5NID9	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	Q7CIZ3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q8CKH6	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q5NI89	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	P0A6Y8	taxid:9606(human|Homo sapiens)	taxid:83333(ecoli|Escherichia coli (strain K12))	BACTERIA
P04233	Q5NIP6	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	A0A2U2H0W7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A0J1HYA4	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	A0A0F7REJ1	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q8ZIN2	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q7CJM9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A0H2W8Y1	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q5NES9	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	Q5NEU6	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	A0A0F7RI91	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q3KSU8	taxid:9606(human|Homo sapiens)	taxid:10376(ebvg|Epstein-Barr virus (strain B95-8))	VIRUS
P04233	A0A384KXS0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q5NGB9	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	P17778	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q81TW1	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q8ZIY3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A0F7RLC1	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	A0A1S0QXZ2	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q7CJE7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A0H2W631	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A384KC05	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A0J1I450	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	A0A0F7RGS7	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q5NID2	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	A0A0F7RFN3	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q5NGC3	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	Q8D0C8	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q81RR8	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	P0A6Y8	taxid:9606(human|Homo sapiens)	taxid:83333(ecoli|Escherichia coli (strain K12))	BACTERIA
P04233	A0A384KQ85	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q5NEB4	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	A0A384LI09	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	A0A384LC41	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q7CIT9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q8D1K3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q8ZA34	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q0WFD2	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q8CLE5	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P04233	Q81Z98	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P04233	Q5NHT8	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
P04233	Q8CZU2	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P43243	P12520	taxid:9606(human|Homo sapiens)	taxid:11698(hv1n5|Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1))	VIRUS
P43243	A0A0F7RLP7	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P43243	Q6QDQ4	taxid:9606(human|Homo sapiens)	taxid:28344(prrsv|Porcine reproductive and respiratory syndrome virus)	VIRUS
P43243	D1LN35	taxid:9606(human|Homo sapiens)	taxid:680716(h5n1-china|Influenza A virus (A/chicken/China/27402/1997(H5N1)))	VIRUS
P43243	P12520	taxid:9606(human|Homo sapiens)	taxid:11698(hv1n5|Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1))	VIRUS
P43243	O56264	taxid:9606(human|Homo sapiens)	taxid:130763(i97a1|Influenza A virus (strain A/Hong Kong/156/1997 H5N1 genotype Gs/Gd))	VIRUS
P43243	P03496	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
P43243	Q99AU3	taxid:9606(human|Homo sapiens)	taxid:88776(i18a0|Influenza A virus (strain A/Brevig Mission/1/1918 H1N1))	VIRUS
P43243	Q8JPQ9	taxid:9606(human|Homo sapiens)	taxid:796210(bunl8|Bunyavirus La Crosse (isolate Human/United States/L78/1978))	VIRUS
P43243	Q8D068	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
P43243	P29991-PRO_0000037946	taxid:9606(human|Homo sapiens)	taxid:31635(den27|Dengue virus type 2 (strain 16681-PDK53))	VIRUS
P43243	Q9WPI5	taxid:9606(human|Homo sapiens)	taxid:380964(influenza a virus (a/texas/36/1991(h1n1))|Influenza A virus (A/Texas/36/1991(H1N1)))	VIRUS
P43243	Q81VT8	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q16181	Q8D1L3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q16181	Q8D062	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q16181	Q8ZFJ7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q16181	Q8CKN6	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q16181	A0A384LA61	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q16181	A0A0F7RLC1	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q16181	Q8D1R9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q9UN86	Q81L32	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q9UN86	A0A0J1HZ85	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q9UN86	P04578-PRO_0000038427	taxid:9606(human|Homo sapiens)	taxid:11706(hv1h2|Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1))	VIRUS
Q9UN86	A0A1S0QZ62	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
Q15021	Q8CK80	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
Q9Y4E8	C5E524	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
Q9Y4E8	I6T1Z2	taxid:9606(human|Homo sapiens)	taxid:387139(i68a0|Influenza A virus (strain A/Aichi/2/1968 H3N2))	VIRUS
A0FGR8	Q1K9H5	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
A0FGR8	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
A0FGR8	P0DOE9	taxid:9606(human|Homo sapiens)	taxid:11259(hrsva|human respiratory sy)	VIRUS
A0FGR8	C5E526	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
A0FGR8	C5E527	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
A0FGR8	B4URF7	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
A0FGR8	P03428	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
A0FGR8	P03452	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
A0FGR8	C5E519	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
A0FGR8	C5E524	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
A0FGR8	I6T1Z2	taxid:9606(human|Homo sapiens)	taxid:387139(i68a0|Influenza A virus (strain A/Aichi/2/1968 H3N2))	VIRUS
A0FGR8	P03431	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
A0JNW5	Q8ZAF0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
A2A2Y4	Q8XAJ5	taxid:9606(human|Homo sapiens)	taxid:83334(eco57|Escherichia coli O157:H7)	BACTERIA
A2A3L6	Q8ZC18	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
A2RU30	Q5NGF9	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
B0I1T2	A0A384KBR7	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
B0I1T2	A0A384K8J9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00154	A0A0H2W1N2	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00159	P03496	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O00203	A0A384L395	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00299	Q8CZM8	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00299	Q81XG9	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00299	Q81U22	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00299	A0A384KST0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00299	Q5NID2	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
O00299	A0A0F7REA8	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00299	Q81Z98	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00408	Q6KNA9	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00408	Q7ARD3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00408	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O00411	Q1K9H5	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O00425	O56264	taxid:9606(human|Homo sapiens)	taxid:130763(i97a1|Influenza A virus (strain A/Hong Kong/156/1997 H5N1 genotype Gs/Gd))	VIRUS
O00425	P03496	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O00425	Q6QDQ4	taxid:9606(human|Homo sapiens)	taxid:28344(prrsv|Porcine reproductive and respiratory syndrome virus)	VIRUS
O00483	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O00507	A0A384LA61	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00519	Q8ZBZ9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00584	Q99IB8-PRO_0000045599	taxid:9606(human|Homo sapiens)	taxid:356411(hcvjf|Hepatitis C virus genotype 2a (isolate JFH-1))	VIRUS
O00584	P29991-PRO_0000037946	taxid:9606(human|Homo sapiens)	taxid:31635(den27|Dengue virus type 2 (strain 16681-PDK53))	VIRUS
O00584	Q5NGV3	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
O00584	Q0WJ06	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O00584	Q81M22	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O00746	P12792	taxid:9606(human|Homo sapiens)	taxid:28292(sfsv|Sandfly fever sicilian virus)	VIRUS
O00754	C5E524	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
O00767	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O00767	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O14545	C5E526	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
O14545	P0DOE9	taxid:9606(human|Homo sapiens)	taxid:11259(hrsva|human respiratory sy)	VIRUS
O14545	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O14579	C5E519	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
O14579	A0A0H2W1W9	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14732	Q8CKM5	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14735	C5E527	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
O14735	P06821	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O14735	C5E519	taxid:9606(human|Homo sapiens)	taxid:643960(A/New York/1682/2009(H1N1)|Influenza A virus)	VIRUS
O14735	P03452	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O14735	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O14735	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O14735	Q5EP37	taxid:9606(human|Homo sapiens)	taxid:284218(influenza a virus (a/viet nam/1203/2004(h5n1))|Influenza A virus (A/Viet Nam/1203/2004(H5N1)))	VIRUS
O14735	P03428	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O14735	I6T1Z2	taxid:9606(human|Homo sapiens)	taxid:387139(i68a0|Influenza A virus (strain A/Aichi/2/1968 H3N2))	VIRUS
O14735	P03431	taxid:9606(human|Homo sapiens)	taxid:211044(i34a1|Influenza A virus (strain A/Puerto Rico/8/1934 H1N1))	VIRUS
O14735	B4URF7	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O14735	Q1K9H5	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O14737	O68769	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	Q0WAP0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	A0A0F7RLZ4	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14773	P40127	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	Q0WEH3	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	A0A0J1HYA4	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14773	Q7CIG0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	Q5NIP6	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
O14773	Q0WBC6	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	Q8ZA85	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	A0A384L4P0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	A0A0F7REV5	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14773	A0A1S0QNL6	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14773	A0A384LA47	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14773	Q81L99	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14786	A0A384KTX0	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14802	P69959	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14874	P25631	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14874	P25631	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14874	P25631	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14879	Q8CZK5	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14879	A0A0F7R3D8	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O14879	P32464	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14879	P32464	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14879	P32464	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
O14879	Q8D0D4	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O14925	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O14925	Q77M19	taxid:9606(human|Homo sapiens)	taxid:132487(measw|Measles virus (strain Edmonston-Schwarz vaccine))	VIRUS
O14975	Q5NEC0	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
O14983	A0A142I5B9	taxid:9606(human|Homo sapiens)	taxid:2316109(ZIKVK|Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010))	VIRUS
O15033	A0A0F7RLC1	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
O15033	Q8ZFX8	taxid:9606(human|Homo sapiens)	taxid:632(yerpe|Yersinia pestis)	BACTERIA
O15119	P03427	taxid:9606(human|Homo sapiens)	taxid:381518(i33a0|Influenza A virus (strain A/Wilson-Smith/1933 H1N1))	VIRUS
O15127	Q5NEB3	taxid:9606(human|Homo sapiens)	taxid:177416(fratt|Francisella tularensis subsp. tularensis)	BACTERIA
